,Eigen-Patient
SDC1,-2939277.3878957233
NFIL3,-292645.6791385072
TRNP1,13173.001608943865
ADAMTSL2,-69638.03374801241
ZNF423,-107153.99769885962
LOXL1,-616235.4278225005
EDA2R,-1776.1177134119362
FAP,-797603.9431086511
DFNA5,-113939.5791704691
PTK6,102964.35580477264
GPR125,-14528.627051189851
FOXN2,-182079.14860385578
MST1R,29940.395804402673
COL1A1,-100995779.29530415
LSR,-188413.01421486877
GATA3,8977107.388206188
SHPRH,33558.702518746264
AURKA,7604.240491803902
NFATC2,-354199.83795330435
SAPCD2,63515.70994479755
PUSL1,-7859.177949959957
SLC44A4,853151.5882064725
WDR76,79056.2886975785
CANT1,1668808.8936690476
SERINC2,930746.6197025479
PARPBP,21552.813001895967
PPP1R16A,186117.32956188964
FZD5,-37120.1029230456
KIF14,11081.134863388917
ZNF707,44295.37395436137
EFNB3,41056.23470840678
F13A1,-1212994.0815994637
ADAM19,-495204.39113708393
SLC37A1,-57734.90178943585
LGALS3,-1321957.003216066
FZD2,-10663.079593505296
LRRC56,89269.92519923854
SKA3,9609.359601956174
CHTF18,65260.27492110141
CBX8,72773.1170685449
DCAF13,181713.4913123478
DNA2,23921.630096157507
LRRC15,-2341710.823587677
TBX18,-107967.50025672832
MT-ATP8,996369.2890019778
MELK,-42131.892384436374
KANSL1L,-32983.59808294783
CLSPN,10251.690955788434
APOBEC3C,-620074.814176844
TPPP,90909.06960868323
GGCT,93913.46654859369
ZNF354C,-21381.74320725468
ADCK5,6691.118407655559
PPDPF,1250101.6353360852
NDC80,-28578.67098078999
CDT1,-9776.457182779386
BBC3,-3182.9086445907687
XRCC2,19056.55749483262
NME3,249267.4793824638
FAM189B,86284.16481790523
FTO,150699.5031034133
SLC25A19,-44249.28054796343
SNAI2,-253974.9265852539
CHST11,-635439.6931486779
RAD54L,704.3647282470446
ERRFI1,26955.82945727875
SOCS2,33709.1306379436
POSTN,-14280982.161434248
FAM213A,367148.44507606386
GINS2,156575.49897847496
OXLD1,49384.63823397012
MZT2A,150867.72838487275
CDKN2D,-5496.925241267359
TMEM132A,-6853.359113133934
GAB3,-120563.99180859806
PGAP1,32510.464218638816
MS4A4A,-314657.84601151437
CDCA3,24693.24445483765
DPP3,145821.38248975747
SGOL2,20597.579007434542
IER5L,-58975.55088960843
ABHD11,172289.34300732982
GNG12,-328645.963861243
ZBTB12,48867.78308176926
BARD1,20306.17149803093
KIFC2,262521.92506201525
GEM,-489869.44077608926
UST,-22010.10005638384
PTGER3,242027.644363644
BRI3BP,422631.5079169385
SEC31B,-20387.753906936392
HSPE1,240028.9305395914
ZNF367,45034.227670131426
SLC39A11,417170.06480790774
PDE8B,26246.745187978348
COL10A1,-1701289.0317574076
ORC6,1461.3937749018423
COL5A2,-7375667.430713435
SRXN1,222520.35311607862
ZKSCAN7,-11413.410864225509
FILIP1,-40752.620440413164
SIPA1L3,480168.8278737332
TYMP,-1663592.8315768891
CPNE8,-131639.09734361243
S100A14,293881.5315694678
SPAG5,213218.80066877502
INCENP,-12970.405177878669
BCL6B,-120618.87710910404
TNFSF4,-114036.00500402985
OTUB2,35172.47606613935
KIF2C,-77267.51281522115
CLYBL,-22344.213506638484
DOPEY2,227153.82047810103
BAIAP2L1,138606.76648951424
WDR62,25946.852439676306
CDCA5,17098.47416900312
TFPT,-23111.92804836986
RASL11A,-50185.030323797895
ALYREF,-84296.211170573
RAD54B,57716.084037243
ESM1,50044.790372785195
ZFP37,-17747.177451999203
NREP,-377052.5437662172
KCNC4,-44732.39290588377
TPD52,3382994.4062000816
RNFT2,37036.88216909431
C11orf96,-145960.4653519485
ZDBF2,20883.24650656742
ID1,-142889.07174781876
LRRC61,3558.632546897577
PSME2,-1015526.3835493906
HBEGF,-150921.86820978456
BIN1,-326550.3119796902
FAM83D,-21435.65729518588
BCAS4,190790.91280233103
PPARGC1B,-80055.5004810728
MZT2B,269587.3829062642
SIGIRR,295062.3070475434
FOXP3,-163175.76775953706
HYAL3,5324.764073079487
STAB1,-852813.0995769206
MXD3,225.13541702967277
ZNF296,-16655.922726540888
FANCD2,61181.51733593488
ZNHIT2,25634.491511419594
RTKN2,-27923.157804051843
MYO19,185124.08052633773
GEN1,14618.863315568587
MINOS1-NBL1,-2734.098015059394
TRIP13,35242.950818660436
CHAF1A,27716.543693913358
MYC,-254716.93763690948
HPN,458440.12928595697
ZNF239,108912.1495279181
EDN1,-166986.56545692193
F12,9428.452555437354
RNF208,52122.38518834751
KIAA1671,-38581.95670591392
ACSS3,139626.4284296458
WDR90,221152.3199845493
DBF4,-22569.242638617878
HOXC13,24662.19466237869
LPCAT1,25496.478759464993
CORO2A,305354.426203098
DONSON,-5798.899648855292
POLD1,-68708.19914594141
HLA-E,-12230564.044695647
MRPS23,263121.75937226147
TMEM184A,179883.8750685949
ASPHD2,-42090.58150133847
FBXO41,97847.61847727482
STIL,-32224.3558639515
MRPL12,10030.47773892528
ZNF462,-110845.26931993813
AURKB,-26743.811048500647
KIAA1462,-513605.9991905043
RIPK4,-117506.91928737538
DSN1,92009.11557913889
APOO,51517.868902474314
MMP14,-5380402.09893775
WDHD1,79033.06608152605
RORA,-145402.54802330816
AUNIP,-261.0831470858837
GRAMD1C,61044.10417794637
KRT18,6135776.704534983
SHROOM2,176127.1044336949
ATL1,-13400.986041391337
LGR4,164548.07105470914
MICALL2,-41266.21204706096
MERTK,-163735.43382550214
KRT8,6075627.009578652
PAICS,955196.8344784569
BIK,86030.04251690593
CABLES2,70931.76671699053
ATP8B4,-65729.16269427731
PNKD,-257810.69316389452
RFTN1,-631788.9193000135
VEGFC,-91425.32543962296
HIST1H2BK,71262.31324248869
FAM111B,83583.79365923497
HOXC10,181150.1460089504
C8orf76,35130.45680963239
HID1,1630064.622026465
CILP2,-203043.4057278472
GOLGA8B,-31849.45033390056
ATAD2,521857.3233443572
TELO2,86535.1601548956
IKBKE,-200857.36867401178
NCAPG2,96306.29163747326
DARS2,237873.0281499726
CDH11,-1914706.0043825228
MAP1B,-496836.2714726567
ZBTB42,327846.2315277703
CALD1,-3438431.8199213124
MAP2K6,-36334.76636323716
SYNDIG1,-104210.24413406616
DEGS2,630948.1030463816
EFNA1,229738.27224700063
KNTC1,138214.89118676085
SAMD10,13111.233105887148
GSDMD,-63819.621162547366
ME1,-64506.20312040533
ACAT1,134747.84806889264
CCDC24,132726.45741413103
PCDHB4,-12080.683007007365
CYBRD1,948681.1453214516
NTHL1,52910.150759191936
SYNGR2,328197.4458611578
KCTD9,-181389.57316174146
STS,-101592.35731748042
ECE2,-38479.39469127312
SKA1,9566.499746353775
E4F1,113661.86993655447
ACTL6A,126650.63668015845
KRT17,-1826981.0512578455
A1BG,25914.89691068847
C21orf58,30291.79308708834
MARK1,-15348.512064069097
ANLN,-114969.73774220544
CTPS1,-71226.88046783856
PRRT3,198575.31835611074
SLX1A,-63389.5870135405
CDC20,-185927.75204978263
EFNA4,-18312.07768358542
C19orf48,-74981.39482675334
RAB26,82460.30007054574
RPS10-NUDT3,-26708.834713590193
TMC4,1033985.2497450875
MCM4,483777.3415427604
EPS8L1,19700.828501171178
CHAF1B,44356.169875721585
YBX3,-856868.4023744753
SCRIB,282962.6566037754
KLHDC9,106322.47148897132
GOLT1A,28278.17616087687
OVOL1,133175.99121401244
ADM2,-49945.10840617254
VCAN,-6595518.932320219
PLS3,-1470541.0444736348
SORBS2,-117759.54887596576
TLCD1,62286.00107419292
ETV5,-182876.80267674217
ZNF501,-9473.24660124052
GPR160,386865.89354494505
LIG3,371432.49137813936
FOXM1,141070.0751708514
IFI30,-4207057.01688899
KIAA1524,-4404.284801223024
SLC22A18,115794.71393035229
TRIM2,-216420.96734787003
TMPRSS2,-84345.72075022607
HEG1,-1241047.3483468262
PRSS22,-6115.963279379586
FAM49B,-193510.73011362267
GRTP1,131240.353519736
FAM64A,4789.686787667897
PHLDB3,96811.30321078848
ORC1,-11277.499488646856
CHEK1,3678.3095164626534
GIMAP4,-797851.5710370272
ZSCAN12,-12771.568070961473
KIAA1211,21289.055832665053
SLC25A10,170098.3672471085
TRPM2,-140901.1978066503
SUV420H2,28774.47705032154
P2RY11,-39276.52809911482
RARB,-95549.73454295425
BLNK,-82652.81680417957
MCM6,-42540.80430926051
ERBB3,3709924.1938374
PGK1,-122797.253153817
WDR27,10154.398469250913
PDK2,211693.6095476227
CXXC5,1017163.5403742684
CELSR1,3043803.265159104
SLC25A30,-26844.65230121379
ECHDC2,128462.58441515146
FBXL16,340233.3752528104
APBA1,-21687.070481281295
ZNF774,7949.6589681556925
GALT,-59990.508491729765
ESRP2,317742.33128814015
MAGOHB,26988.423593412586
DSE,-575794.7808550384
SLC16A3,-365817.3074107191
ARHGEF39,1046.8128196413154
FCGR1A,-313594.27208359586
ALDOA,10209354.515803365
ALDH6A1,356288.65981587616
EML5,22785.686894883274
PDF,4595.84095266229
RRS1,51387.79661617811
CERS6,2561101.2727810596
NUAK1,-179668.60302800042
MBNL3,-220732.14715561748
TTK,17890.273230818435
METRN,298148.5904268036
GPRC5A,3418903.1084729973
POLD4,142262.049444029
VPS37C,310367.3343508986
PNP,-189611.36203173245
AOX1,-99807.35188107721
SH2D3C,-224629.3577862486
IRX5,597449.7568583342
WDR54,70960.1815021222
ARHGAP11B,1298.2273132136127
N4BP3,285345.377391475
ATAD3A,-81893.91184723613
INTU,112547.33080356315
A2M,-10388393.825071195
SAP30,-2001.614678528653
EPHA10,61555.68793532679
hsa-mir-1199,93244.11056850078
ERMP1,665454.4742831668
SIX4,266996.4722533708
PRKAA1,-364580.54366144654
COMTD1,2994.1488237552694
E2F7,32166.71379792135
HOXD9,-26194.263675542803
TBC1D7,10118.031703968214
VWA1,-108672.63842925217
PFDN2,-92709.63523626034
BIRC5,12096.677026681036
MLPH,3679574.866733133
CLEC11A,-179500.6638186481
SEMA7A,-143554.15702793997
SQLE,443930.5580951762
CDC25A,12631.273988998813
GLIS2,-408337.1278251295
TRIM68,-36864.009870942784
MATN3,-15670.702305628125
TIMP1,-1520183.08339418
IRF9,-120748.04739299005
CEP85,132387.22104113872
ABHD17C,225005.63549229078
WTIP,-77019.17460636218
MUC1,1080522.1215506138
SPR,476168.7590526787
RGS14,-92969.17716177808
NECAB3,646765.7594626928
ERAP1,-665159.2718925358
GK,-31133.38023026735
ALDH4A1,44211.669768290405
HIST1H2BD,452792.14076462266
WISP1,-385199.30811635463
MAGIX,19167.257676540656
C1orf159,-15212.91636974198
TMEM63C,175371.30249736048
S100A11,-3052807.0083252727
SOX18,-90966.86793097014
DEPDC1,4623.024781053478
PPM1J,154420.75345383707
ANO9,34480.49125543797
CENPA,-20230.680095978714
ANXA9,478664.0796599852
FAM72A,-116.36724361783378
JOSD2,-44073.949293675454
CDC7,23574.651234869772
NCOA7,-715908.5663174288
CPAMD8,-97852.05987445134
TK1,15597.482300542573
E2F8,-3777.752166986244
ARRDC4,-93540.02706877784
BOLA1,38835.42320022742
RPL39L,-40093.45907815159
PLIN2,-775317.7664314698
ASPH,412121.84661665425
PLEKHG5,-44574.39357646278
E2F5,41181.56765867022
FANCA,-59757.75053847291
PITX1,33216.43412516815
SNTA1,41945.64326015742
MEIS3,70370.73573939013
FES,-130976.307692507
MCM3,146327.7528815924
CXorf40A,179608.17991762905
LAMC2,-898932.0740570168
SMYD3,48912.92037380471
MAPK8IP2,402191.2854134848
UNC93B1,-137061.24408663192
CREB3L1,-138466.14389879964
THRA,122616.79782441616
IL1R1,-712127.6112423941
MANEAL,233559.45059180167
NCDN,208839.59961164827
PYCARD,-208889.01377650746
SDK1,-51163.504352838696
SPAG1,145577.4885965872
HIST1H2AC,758532.5647015653
COL1A2,-74329774.6934542
RFC4,8438.779584321217
COMP,-1875876.1021600002
LIN9,5990.272759518573
KLC2,345367.5400040571
NDUFAF6,197022.465006961
SLC52A3,106070.1204713461
AK8,34324.67529251123
ENAH,-230911.86290219548
SVIL,-528227.1916545498
VSIG4,-459272.54093280225
TMEM121,35879.236709196826
TPI1,440982.62175398687
RHBDF2,-269408.15065017494
BRIP1,68659.96331463415
PARP9,-462875.11120896577
ADAMTS6,-35501.38826777556
RGMA,-195228.60290134136
ICT1,77462.69192498404
RGAG4,-45115.36652894154
PACSIN1,13991.555703603166
CHEK2,-12701.409405811137
HMGA1,-656052.6602619133
SLC39A4,59557.22075343075
ZFPM1,24550.406721318705
OLFML2B,-1013646.8763191176
FANCG,27136.917645662757
CLSTN3,-334079.4510974056
PDPR,-107795.3138732896
CDK2AP2,54972.936833704545
STMN1,117254.43426593381
AMMECR1,-41334.77290945924
CMTM7,-278027.2241888791
SCAND1,33621.808559500314
PTMS,691047.8334524186
DOK3,-181277.2709244434
SECISBP2L,123759.51896528728
CYC1,286458.5597053988
CXorf40B,265212.69288837124
CLEC5A,-100121.31875417741
KRT5,-4015353.3003190355
TYMS,-25089.57438025994
SIAH2,1200872.4149491233
KCNK1,-56488.97583406463
RAE1,199015.00379089356
TNFRSF18,36067.69661106787
CISH,115896.49805752927
HAUS8,-17976.585829031148
CCDC88C,354629.8453818666
TBC1D31,4615.464891012715
FAAH,343477.95429706865
KLHL2,-106572.40460003867
ACSL5,-582652.2141624849
NFKBIE,-294162.12753273774
RUNX2,-261102.8016611893
ARHGEF16,125678.5681751205
CRABP2,4326233.710624483
FXYD3,1161600.8203157345
CALCRL,-220663.2762983532
GCAT,74809.3785690432
KRT15,-333523.80555329064
PDXP,52520.96183229584
RAB17,236442.3305357468
C11orf82,-6651.235022634483
FXYD6,-169410.9290711343
POLR2K,309281.094885712
HOXA10,-51529.91557277788
AEBP1,-8722909.68005139
SLC9A3R1,5151030.82795773
HMGB2,546339.5450487764
CDCP1,-202210.3053315608
S100A16,-503863.3366635369
RNF145,-712058.0463997106
ARHGAP42,-78021.42088719035
SCD,3762785.011914505
PODXL2,463194.9706146554
GPSM2,8780.295801594535
SUCO,908301.07319687
TMEM134,102611.13575059058
WNT7B,47950.21606161358
CTF1,-1601.970336694409
PWWP2B,-1936.5314193273305
ZNF281,280294.1328397897
PVRL4,1120.6670391343364
APOL6,-2003448.8420295299
BLM,23953.865712280567
RAB11FIP4,353713.5157933568
E2F2,-41276.16201278379
CENPN,-41542.86492181645
MOCS3,61913.686093327204
MAP3K8,-99724.63829871574
KDM4B,1541167.032844303
TRAPPC6A,111218.6751396232
MAL2,775790.9679740363
SEMA3C,630861.9035245525
NT5DC3,13793.672056192823
RAC3,84921.4283247001
SPIRE2,74345.832588691
SH3BP1,-263711.6912938363
RAD51AP1,59376.51134705371
FOXRED2,199255.87546126766
SCCPDH,619553.2591319676
TIMP2,-5885113.852464352
PARP10,-88968.37822982205
HEYL,-44473.63436931675
BMF,-55820.18861668849
NSF,635203.4556424594
LRFN1,2469.791431351007
ASB13,683025.2018580718
ATF5,-250700.13294618137
BIVM-ERCC5,-21118.610751778255
MXRA5,-6071696.761973727
SULT1A4,-41563.02290549792
ATP6V0E2,284283.70779579674
ESPN,35888.001615241745
VPS37D,36563.24580118445
LY6G5B,-15313.122400753493
ISOC2,-62859.66176474126
MAGED2,9601870.463866042
SERPINH1,-2263433.609633657
PPAP2C,201858.69677975168
TSPAN13,5242300.977838369
HYOU1,-208564.83341100375
TMEM106C,710220.8740073044
KCNK6,179488.21062466878
GALNT6,1453688.665796693
ADAM15,-293127.92215396866
YWHAZ,4766102.791395369
FBXO32,-1193411.8771140233
FAM129A,372417.1785268261
FBXO16,22508.13703521252
MYBL2,22235.637960889228
SNRPA1,-9821.400871581121
DSCC1,27988.0725996547
TET3,14609.342631305684
NDUFS8,244666.4531755472
COL12A1,-6777924.227043318
COL11A1,-2987997.271632482
IDH2,-406846.87960701436
PHF16,51490.79403756703
PKN3,-17421.173209779332
CA12,7101010.892746007
ME3,15878.335176016259
TEAD4,-46728.38521782997
NOP16,-62042.437891216716
ANKRD13D,125394.41778356677
SOX4,482309.8205775618
TPBG,554425.1265670054
GAS2L3,118.82004543023223
RRAGD,-124796.63186045393
TRPS1,5933663.874554754
XBP1,27655898.877105113
CYB561,987455.0986621358
PIGT,1943835.326646063
TRERF1,86515.38835789319
PSMC3IP,51413.607310361724
COA4,143485.89119507832
HIST2H2AA3,28047.278174818646
IL4I1,-361165.4499494733
AZI1,30804.64198902799
DIAPH3,16710.546618869936
H1F0,2228326.086572899
PLD1,-209807.97044633032
LAYN,-79644.23665578994
P4HTM,528708.4158085212
GALK1,-19465.820104980943
FAM174B,606044.5933039862
UBE2L6,-1043753.7851236208
STK32C,-64.90324541822639
IGSF3,14945.989779012316
BSPRY,101034.76359751693
RTN4RL2,5635.853808793514
HDAC11,479260.64398617414
ZNF93,-14896.269120759542
KIF20B,41737.29519493086
MTERFD1,36976.54014082367
CAPN13,171304.6904717614
FDXR,106379.75649838129
DNAH14,34689.88157921305
SRPK1,-96076.03634615504
TMEM79,-5412.322745047166
BEND7,-14794.12594920609
BOP1,-69084.39475723887
RALGPS2,436506.24821480963
MCM10,19118.547978111634
CLEC2B,-219693.48113476287
ETFB,-126501.35592706632
TOP2A,1299644.5184249172
OXCT1,-42456.41077210002
MPP6,-78130.59433458488
IRF5,-139838.42841360776
BRCA2,-4655.300716827611
MCC,19359.517343187294
GRINA,1665664.0208404225
ABRACL,-186663.03436798768
ETS1,-2234716.1135968557
SNED1,-202432.71536989254
C5AR2,168195.59075530566
STAP2,-5139.650032275805
SEC61A2,34985.900463898404
ADAM12,-1763487.1569112826
ST14,-432143.37572567014
ANKRD22,-86733.59956137279
WDR4,-26800.730504949894
TMSB10,-6851264.297813334
CHCHD2,402691.29881430994
HIST2H2AA4,248539.2011619085
TFAP2A,1319693.496072277
ABCG1,238304.20887214976
VWA5A,-216281.40343426954
IL21R,-237442.66426919444
C2orf81,46542.59015474294
LZTS1,-112350.58669845373
RASL11B,-21604.49064317542
OAZ3,-11655.56873377025
UNC119B,194589.4660044814
CASP10,-219224.58459819545
BRCA1,209693.0430760482
GJA4,-77435.45086407667
RGS10,-318094.691811628
ZCCHC11,-159210.8841167461
COL3A1,-78997102.87545927
ENSA,981329.1917150784
IL6R,-303880.7761786929
ITPR3,219987.64479535655
ALPL,-355518.80449939944
BTBD11,-28229.83519732832
MSI2,1416574.6411149038
ADAP1,15132.989311520701
DPM3,20472.281691467026
IGFLR1,-159895.2551402151
PAIP2B,61006.68618723274
9-Mar,42335.48068546802
DENND5B,-22923.23157985112
HOMER3,-210804.53484767064
KLHL17,-1838.5559817302492
ZNF579,-3502.384028201968
SERINC1,925597.3969012821
ARL10,-60771.73373532785
HSPB1,3003217.0418102806
PRR15,532066.7643372588
ANKRD6,-64075.303957128526
ADAMTSL1,-82352.44145478954
SH3KBP1,-712418.0508333578
MYO6,1786236.1515022253
STEAP1,-70373.53963453145
ZMYND10,99706.11814335317
SULF1,-2862833.1980240303
PARP12,-295482.6060990333
RPS6KA5,44804.811872088394
CSE1L,647673.8648214632
LPIN1,-430593.6093958366
GNPNAT1,336020.2654394089
JRKL,-120918.0817863634
DHTKD1,244563.40558485492
PPAT,154445.54490411805
MAP7,699282.2031475815
IL20RA,174019.29433613605
ZDHHC13,106756.64400063004
SSBP2,213987.4385070223
TPPP3,50451.58148449041
DCBLD2,-154491.10665828062
NBEAL1,7001.6900130107815
EGFL7,-82553.51782347038
ADAMTS9,-241616.53742980782
LEO1,284298.54033637384
SPATA17,55259.80585330362
COL15A1,-1638597.1825782233
EME2,79568.75914763665
RRP1,-91639.74302928678
PRIM1,60883.94751841885
THY1,-2006186.4547636989
FAAH2,121626.43868100562
TMPO,246375.05016562555
CCL2,-597006.7174077502
HIST2H2BE,919415.372394148
TSPAN11,-108066.41858515637
MTFR1,68326.01404010563
LRRC59,1711.4402787632334
PDCD2L,-1492.6937477643157
CDCA2,-63092.19134178717
CCDC106,110568.30701807977
C16orf93,29022.539572132147
LYPLA1,1035994.8625940549
ZDHHC24,49803.309458994525
TRPM4,25392.64205788376
CSGALNACT1,-209514.3561445676
RAB31,197907.07118578095
MPHOSPH9,61506.84540370514
DHRS13,119418.76362626118
CCNE2,81066.23688151043
RHOD,105859.68981994162
AMIGO1,98642.30125133133
KBTBD11,27430.49894536471
BCAT2,368373.4784940035
FBP1,764653.4924854983
DHCR24,5598366.646337194
KIAA1199,-297950.8770434726
ADAMTS7,-105664.73086833447
ELL3,39274.64340057983
RAB3IL1,-188795.51377580065
C2orf74,-48939.11547066942
SFXN5,214607.73541767354
GPR143,40538.25191127391
EVL,2394003.948632832
HSH2D,140770.35155770616
CCDC96,34986.82609409522
DECR2,105313.7204804108
PLEKHF2,973445.0437235186
VCL,-775253.1396907144
TSPAN18,-215888.46728573742
MSRB1,-45484.68777774317
F2R,-764048.2501060767
STARD10,2819096.944872776
ARFGEF1,1135339.134799089
RASL12,-90544.15657337179
DOCK4,-243997.75015276103
NFKBIB,-111514.77413097334
TRIM3,222512.0046107604
ABHD15,9663.725097664308
TTC39A,1115216.7446082272
PTPLAD1,2760123.606956299
FHDC1,250467.4134602211
SLC11A1,-82892.41595679239
OSCAR,-108827.22634129057
ARHGEF19,24488.93443890447
OCLN,560984.1245359372
MBP,-333900.7586346014
STRA6,-89756.30561094094
PLEKHN1,-20952.71010520423
PROM2,465695.894270717
PMP22,-673337.8121830988
FUT8,458754.98504965566
PIK3R3,150882.02789287263
PAXIP1,255051.76910500307
B4GALNT3,128344.67748642917
GAPDH,5458068.906102052
RTN4R,-1145.5179193226022
CELSR3,149153.92909782674
DYNC2H1,61545.09872579996
KIAA1107,36420.24673588164
TMC6,-300047.02355155715
PRIM2,7914.202656811175
SFXN1,350138.59506031056
TCEA3,648247.301729654
RAD21,2462056.5044711935
GSTCD,137251.31686777668
NME1,160701.78466808112
ZNF469,-372699.8733820048
ZFP69B,-251.17280680303284
SLC23A2,7708.728387813453
C4orf46,10595.179555664763
F2RL2,-317467.89139567636
KCNJ11,194218.86842286325
ZSWIM4,-153578.2144547989
SRP54,384928.2856487342
PTRH1,8296.326162947564
MRPL15,-21924.509161428185
STAT1,-6509343.3496875325
PHLDA3,-145210.76380557826
PARM1,-227339.11032927872
MTL5,565653.2006870355
EFNA3,41473.60672617667
NKD2,-49963.5646981192
SAC3D1,5902.299608091942
ZNF623,203969.8421618645
NTN4,-150216.31532074852
CHST15,123678.53382161184
MCM5,-201954.5580203805
MYEF2,346758.35597666714
PYGO1,-3731.1301756559287
SPSB2,-3303.6448865223138
TNFRSF12A,-300625.9920962323
C15orf52,-142012.97874987958
SLC2A4RG,228597.60507292283
HERC1,72888.90526654109
ETNK2,342308.0248425698
BASP1,-116640.62143462316
TCIRG1,-314531.69494780415
KDELR3,-213376.82882800043
POP1,-19987.697835294897
ABCB9,58316.0292984975
FCGR3A,-2235716.3252085703
ARL15,-108482.94572810762
AMIGO3,19341.674515491166
PTN,-575412.5630328294
MRPL13,141996.3578640691
METTL2A,98035.2489726511
SLC2A1,411854.0905535594
XPO5,-15238.462205741182
ALDH1B1,-380813.37185298296
ARHGAP5,211945.97172919754
TICRR,14057.958008514575
GPR137C,29406.833151550545
SYAP1,870749.9627717892
SLC7A8,1235319.9178945518
FAM83G,83739.30506265702
MICB,-43107.257515351856
ZNF692,67310.94090146958
NDUFB9,202640.03569558027
LAT2,-234729.22184807024
DNPH1,-49631.59760132573
ZNF331,-47376.546937226405
SMPDL3B,40861.97066709955
BST2,-546565.3124556103
PRPS2,300.6146291749053
C6orf132,112485.44756014539
SLC1A4,793273.7065855874
TGFB3,-435717.1836415048
LRRN2,211520.4488355486
FGD1,100613.41085618004
TMEM97,409089.4825882961
HEXIM2,65424.20043511784
LMTK3,78549.86364934528
RAI14,-562965.3575300943
NOP2,-29237.818181898583
PPP1R9B,-229947.07251237883
HELZ2,-46868.568049377885
ISYNA1,234172.71700360518
DMXL1,233477.7915180762
FMOD,-138378.80608576545
JMJD7-PLA2G4B,-907.0012357204014
BATF,-42237.49480974719
HRAS,78426.81590462942
LRRCC1,144201.55161047247
FAM91A1,278353.5437359891
EML2,392019.10462401184
HES6,55137.976960677326
JUND,-157657.00190349927
CDR2L,-44453.78840880898
RAB3A,97066.5592981619
ISG20,-246799.6898136518
PPFIA3,9393.881487275616
C5orf34,-28.424035307936748
SORD,1197106.6553499931
C3orf52,182462.86465095123
PTK7,-1105308.3416891727
SLC2A10,575295.9849378051
FAM135A,-70620.65650370414
PDIA6,-465326.2258827697
KCNJ2,-117147.58448997888
TRMT12,96178.48222443848
SLMO2,612075.1092980924
CFB,-1812373.4368238244
IRAK1,-939888.5165407975
ELMO3,219132.5131131047
THBS2,-5215469.390609221
ZNF552,967602.9421085239
CBX2,-56424.574970538044
CPQ,-231701.06599120089
SMPD2,15398.049115091038
GNE,-92175.06683894481
GCH1,-160691.61393516895
ZBTB41,484923.0756092849
SNRPF,54464.98549949928
PLGRKT,14846.045319539453
TBC1D30,106578.14037491231
CUEDC1,110525.04671508464
ANKEF1,136622.61480528483
THEM6,238180.4904291667
CIB1,257601.29117044862
AGRN,-856943.5159430536
SLC26A6,7993.625898548862
PDGFC,-210008.06742622596
SPATC1L,15018.261062238504
MC1R,-5849.89145888325
NPNT,2804525.7063497226
CX3CR1,-109174.78095455644
GOLM1,196499.85493807297
CGN,1201329.6399338923
LRP8,-69751.63106447207
KRAS,77962.61104354942
BDH1,200792.30714974354
CALU,-1552973.0343414228
C1S,-9484766.27656723
TIMP3,-3047973.5129613862
CYCS,12550.348733430028
RAB6B,-42003.368060974455
DNAJA4,1029509.1451946428
CARD14,53692.73862382255
CCND2,-488140.5203521312
TRIM46,-15157.989358968882
EXOSC3,24786.564981723397
ZMYND8,546555.237911531
LCA5L,32449.176759276128
AHR,-771936.5832043927
RFXAP,-6375.479874711043
GPR132,-117330.49571989557
VAV3,2373197.967378586
TACO1,67822.46341464705
SEMA4A,-104303.43448637404
CNNM4,412068.40854310547
TAF2,153603.1474226999
ACAP3,-6600.356167318947
COL6A3,-18088659.537895553
TRAF5,105531.91370241596
PIGO,284147.1393529145
MASTL,20209.927570352087
E2F3,-70659.12830399621
FHAD1,-37346.01505852702
FBLN7,-19257.874534313174
OAS3,-430205.5866462747
TMEM51,-168556.1517578766
RASGEF1B,-249519.121700486
ENC1,-518105.8634826493
MZT1,138712.93445462786
ACOT4,103233.6557591632
PLOD3,-270680.88067945966
GAN,-34481.16918458521
CRIP2,608677.3456359005
TNFRSF1B,-1138173.1899654733
OPTN,-1103991.2103570325
ESR1,12612005.443802949
TMTC4,172101.53931614177
TLE2,61584.610014687234
TUB,26007.619366763094
GSR,60084.15205731434
PPT1,333260.60677195666
BAIAP2,717804.869988169
APLF,-31397.7691742305
AMACR,39046.22180140146
B3GALNT1,244072.59969339223
NEGR1,-29691.565146509176
DTWD1,5756.872612011745
FAM84B,1359386.9903423968
IFI35,-134476.76249819365
SREBF1,2517020.033977819
HK1,500525.105736552
RIPK2,-229204.82989518606
EMP2,1493656.4146650198
NRM,-16553.1163463772
MAP3K10,23422.048380768734
FBF1,54066.01774031596
FARP1,222558.67332182633
SLC2A3,-660502.5114347565
ZNF521,-283899.6083792767
EPN3,395018.6014992515
TP53INP1,654531.8434161718
CLDN3,247001.26561473747
LPHN2,-54814.68500137617
ZYG11A,20983.50531289019
4-Sep,-73442.71167040101
PRLR,2850328.1758965617
NUDT5,23762.832033064835
CCDC125,275837.2136415671
CCDC19,21489.015083321818
ST6GAL2,-106157.79896896251
PTS,-3298.5856541929616
NKAIN1,1088265.5933804372
PARD6A,27697.141986276456
HSPH1,349416.9433497297
ATAD5,33411.76644147315
SCARF2,-161872.7724726118
WNT2B,-14996.303503328385
MCM7,4151.532475910983
ROMO1,95285.6946122138
SNAPC2,112598.14163477688
KRT14,-2669317.5908424156
ARSI,-75495.4834314818
MRM1,36398.40743500724
SPATA18,35451.103165206405
