,Eigen-Patient
ABCC9,-147780.79828552558
ANGPTL2,-1109541.4573624304
RNF150,-223795.07071057954
DIXDC1,-68884.01418044172
CPED1,-180080.24811927392
ACSL1,-1195270.5352433564
ABLIM1,-519298.3306425705
ITM2A,-451535.47464957426
ABCA5,69983.24026313002
EMP1,-1676025.84500446
CX3CL1,-1555344.461680887
CLIP4,-179300.0100624738
CELF2,-751457.8546285303
IGF1,-605889.656169715
RGL1,-451670.5677783154
FOSB,-999895.0543195665
DNAJB4,-128367.82458207173
PTPN21,-102276.55900836749
CREB5,-62143.20644976067
MYL9,-2138322.9003704297
ACTA2,-3158814.166874447
DOCK11,-467658.4995198671
DGAT2,-294515.239232629
DUSP1,-1839919.6096899605
CFD,-143149.51393054947
STX11,-89522.86033476212
NPR2,-104466.47252399936
SAMD4A,-224497.36770440667
N4BP2L1,-95444.27454629212
TBX15,-78917.09962405406
EPB41L2,-890999.1327026814
FAM49A,-260020.38745703315
FOS,-3622013.2218215917
TYRO3,-40095.229526243
ELTD1,-339556.88589769957
PRDM5,-28974.864928723564
CES1,-229604.14107779154
SLC29A4,-30393.353164425247
CDH23,-75777.72184360339
PTPN14,-543219.8994357579
APOLD1,-158799.2144617455
SOX7,-75944.48206297551
GRAMD3,-171210.04465014537
CCDC3,-161483.00031847417
DPYSL2,-978526.2627084223
FAM47E,67186.76229566426
STAT5A,-608360.8056340901
CSRP1,-900526.0652977123
EGR2,-388466.66278320376
AKR1C3,-231489.79108202612
ZCCHC24,-467508.38841152174
NMB,-34285.1964381861
PLA2R1,-78450.53305379492
TMTC1,-109273.371579179
GPRASP2,28569.73474282263
NOVA2,-19460.168998548303
LRP1,-6186414.004096098
PRKAR2B,323877.58023248543
HSPA12A,23694.68048232651
CCL28,-123357.50298834335
GIMAP6,-473197.02786506305
RGCC,-231270.66666512357
CDH13,-68099.7831767177
EPDR1,-54415.50055579444
FADS3,-119097.57759861561
ICAM2,-213877.3651934668
AIFM2,-64193.905083493904
PCSK5,-145930.76730697587
THRB,84857.1061724556
CD200,-186201.8439564093
ARHGAP10,-128056.02829910468
KLF6,-1492696.1336737382
LARP6,-53383.70685395182
CD248,-679724.2165304628
PTGIS,-466933.3400284717
ZEB2,-816453.7854481476
SLC9A9,-170760.03770724195
PLEKHH2,-60637.325462605964
RASIP1,-109239.79014591484
FAM47E-STBD1,10927.355673327966
RNF180,-8553.991169896279
ZFP36,-2105900.4363148017
VIM,-16440939.794829419
CRYAB,-1077824.2539381527
AFAP1L1,-92324.42548997511
TACC1,-853438.8427082689
ARRDC3,-679583.321010431
CCDC8,-151283.95192119144
PFKFB3,-77668.82182854753
SHANK3,-192441.47469054314
EOGT,-194690.86994934417
DUSP6,-435355.54513232165
KAT2B,-120826.10642491722
GPR34,-136096.32603567583
SFRP1,-2147446.897544015
APCDD1,-252566.00814207437
CRYBG3,-225368.46584426129
LCA5,-12360.603491031323
TINAGL1,-412140.74672849517
SERPING1,-6026577.472742896
NTRK2,577053.9433321654
ARHGAP24,-116229.96252957293
PDE1B,-109246.21354182447
PCDH18,-304723.4971507462
GPC3,121806.87776340602
PIK3R1,-878262.3236147898
AMOTL1,-451748.4521570968
LAMA2,-553982.4952990831
PRNP,-1187346.1527296822
DAAM2,-77008.11587694277
LAMA4,-1149030.1710161362
ARL4A,-161099.34071002365
NGFR,-166814.09622213617
CLEC14A,-179742.5372787675
MEDAG,-172034.18031641102
ETS2,-510218.15444933076
ABI3BP,-679484.5748294677
NRIP2,-22901.927324568827
EGR3,-310590.98979211436
OLFML1,-203028.03464452014
SOBP,-46680.64662449483
PYROXD2,4193.455194402731
MAFF,-117234.97476733955
CYR61,-3074216.325837796
JUN,-1663803.18254913
TRPC1,-32955.584320495305
MT1X,-268483.17509209446
MPDZ,23832.175396551767
PDE7B,-41528.55469267264
PTPRM,-476766.5220772804
SYNE1,-651620.2810028543
KLHL21,-126284.84856449068
RNF125,-94013.86754649719
TLE4,-209546.57514328288
SASH1,-189174.8156024857
HSD17B11,-315713.16648326337
ZFP36L2,-2679379.6562199593
CCDC80,-3762411.914919656
MLTK,-51931.56125262538
GIMAP1,-222567.6834750731
HSPA12B,-91735.81306229999
PRKD1,-75268.58723856398
PTGER4,-250222.29471236464
PLAGL1,-210147.1389086847
KIRREL,-576125.1689766673
KLF2,-300779.65331942256
LMO2,-156691.25527906968
TCF7L2,-217598.5290944712
USP53,-63375.818266272305
FOLR2,-256232.55072294103
LRIG3,-248045.42524417574
ADD3,-591023.5276717987
RARRES2,-695183.0825545251
LHX6,-47043.07323719319
ALDOC,68115.88262035041
TBC1D4,-184239.71542310127
FLT4,-79781.59976615933
CPM,-361348.05918229907
RFTN2,-51772.96704895653
VGLL3,-288849.4223171323
EFEMP1,-754419.6749027679
LAMA3,619047.4894421063
TLR4,-412649.64807207586
VLDLR,-188075.6698147319
MEIS2,-107870.46309125758
SEPP1,-754924.5843148406
PALM,85149.67624640097
NFIB,-820772.5784601037
SLIT2,-257040.78923171133
LPCAT2,-332290.8464107394
FHL1,-720415.2233224025
INPP1,-84984.06659339182
GRASP,-75715.44444834825
FAM212B,-29586.818289892042
FLRT2,-267112.9647131367
MAF,-555329.7767740674
FNDC4,-73346.7468113934
